Account Name,nsbi_sector,Deal Type,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude,New Georeferenced Column
Fourth State Energy Incorporated,Energy,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3J2L4,2018 - 2019,-63.632286,44.654755,POINT (-63.632286 44.654755)
Iris Booth Incorporated,Business Services,Export Growth Program,7100,Halifax,Halifax Regional Municipality,B3K2Z8,2018 - 2019,-63.581653,44.651755,POINT (-63.581653 44.651755)
Keeping Roads Safe Technologies Inc,ICT (includes Digital Media),Export Growth Program,6400,Bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
Muwin Estate Wines Ltd,Agri-food,Export Growth Program,4850,New Ross,Lunenburg,B0J2M0,2018 - 2019,-63.916747,44.706544,POINT (-63.916747 44.706544)
The Soap Company of Nova Scotia Ltd,Advanced Manufacturing,Export Growth Program,1800,Sherbrooke,Guysborough,B0J3C0,2018 - 2019,-62.026841,45.193706,POINT (-62.026841 45.193706)
Topsail Productions Ltd.,Film Production,Export Growth Program,2500,Halifax,Halifax Regional Municipality,B3J1J7,2018 - 2019,-63.573178,44.645217,POINT (-63.573178 44.645217)
2 Crows Brewing Ltd,Agri-food,Export Growth Program,2775,Halifax,Halifax Regional Municipality,B3J2G7,2018 - 2019,-63.578146,44.649349,POINT (-63.578146 44.649349)
Baie Run Pet Products Inc,Agri-food,Export Growth Program,5212,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
Cartoon Conrad Productions Inc,ICT (includes Digital Media),Export Growth Program,8411,Beaver Bank,Halifax Regional Municipality,B4G1C5,2018 - 2019,-63.691467,44.853799,POINT (-63.691467 44.853799)
Fit First Holdings Inc.,Business Services,Export Growth Program,5050,Dartmouth,Halifax Regional Municipality,B3B1X2,2018 - 2019,-63.595848,44.710189,POINT (-63.595848 44.710189)
Imaginal Ventures Inc.,Engineering & Professional,Export Growth Program,794,Halifax,Halifax Regional Municipality,B3K5T9,2018 - 2019,-63.590281,44.662753,POINT (-63.590281 44.662753)
JusNova Agriculture Ltd,Agri-food,Export Growth Program,3550,Halifax,Halifax Regional Municipality,B3M1N1,2018 - 2019,-63.641789,44.66397,POINT (-63.641789 44.66397)
Skinfix Inc,Advanced Manufacturing,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3J1R9,2018 - 2019,-63.570552,44.645084,POINT (-63.570552 44.645084)
Stark International Inc,Energy,Export Growth Program,2000,New Glasgow,Pictou,B2H2T3,2018 - 2019,-62.6438518,45.58895964,POINT (-62.6438518 45.58895964)
Stratigro Business Consulting,Business Services,Export Growth Program,2775,Meteghan,Digby,B0W2J0,2018 - 2019,-66.258852,44.158134,POINT (-66.258852 44.158134)
4Deep Inwater Imaging,Oceans Technology,Export Growth Program,1800,Halifax,Halifax Regional Municipality,B4B1G2,2018 - 2019,-63.741086,44.724533,POINT (-63.741086 44.724533)
Blois Fish Processing Automation Limited,Fish & Seafood Processing,Export Growth Program,850,Dartmouth,Halifax Regional Municipality,B2V2S7,2018 - 2019,-63.476576,44.653288,POINT (-63.476576 44.653288)
Maritime Gourmet Mushrooms Inc,Agri-food,Export Growth Program,2202,Halifax,Halifax Regional Municipality,B3M3Y8,2018 - 2019,-63.667551,44.676453,POINT (-63.667551 44.676453)
Steinhart Distillery Limited,Agri-food,Export Growth Program,1175,Antigonish,Antigonish,B2G2L1,2018 - 2019,-62.155396,45.566847,POINT (-62.155396 45.566847)
Ven-Rez Products Ltd,Advanced Manufacturing,Export Growth Program,3492,Shelburne,Shelburne,B0T1W0,2018 - 2019,-65.41816,43.66134,POINT (-65.41816 43.66134)
Atlantic Flight Attendant Academy,Business Services,Export Growth Program,3000,Halifax,Halifax Regional Municipality,B3H3Y4,2018 - 2019,-63.593557,44.632239,POINT (-63.593557 44.632239)
Breton Brewing Co,Agri-food,Export Growth Program,3000,Sydney,Cape Breton,B1R1V7,2018 - 2019,-60.229829,46.116106,POINT (-60.229829 46.116106)
Lunenburg County Shipwrights Inc.,Advanced Manufacturing,Export Growth Program,2278,Bridgewater,Lunenburg,B0J2C0,2018 - 2019,-64.309889,44.37635,POINT (-64.309889 44.37635)
Raised Performance Media Inc.,Business Services,Export Growth Program,3662,Halifax,Halifax Regional Municipality,B3J2A4,2018 - 2019,-63.574131,44.647278,POINT (-63.574131 44.647278)
SalesRight Technologies Inc,ICT (includes Digital Media),Export Growth Program,750,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Sayle Group Inc,Business Services,Export Growth Program,4925,Hammonds Plains,Halifax Regional Municipality,B4B1W8,2018 - 2019,-63.777975,44.757498,POINT (-63.777975 44.757498)
Youx Systems Inc.,ICT (includes Digital Media),Export Growth Program,512,Halifax,Halifax Regional Municipality,B3S1N5,2018 - 2019,-63.67319911,44.66025623,POINT (-63.67319911 44.66025623)
6 Joe's Software Inc.,ICT (includes Digital Media),Export Growth Program,11000,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Barrelling Tide Distillery,Agri-food,Export Growth Program,1700,Port Williams,Kings,B0P1T0,2018 - 2019,-64.362715,45.159695,POINT (-64.362715 45.159695)
Downeast Entertainment & Meeting Specialists Limited,Business Services,Export Growth Program,7359,Halifax,Halifax Regional Municipality,B3J3K8,2018 - 2019,-63.57472,44.648408,POINT (-63.57472 44.648408)
Hand Maiden Fine Yarn Inc.,Clothing & Textiles,Export Growth Program,3551,Halifax,Halifax Regional Municipality,B3K4E8,2018 - 2019,-63.598985,44.659252,POINT (-63.598985 44.659252)
